Object ID,Reported Redshift (Heliocentric),CMB rest frame z,RA (deg),Dec (deg),"Time lag (ADC a = 1/3), from JAVELIN",Lower Uncertainty (1-Sigma),Upper Uncertainty (1-Sigma),Log time lag,Log tau_err Symm,log V-band Luminosity,Upper L Uncertainty,Lower L Uncertainty,L_err Symm,Spectral Flux at obs band (mJy),Upper Flux Uncertainty,Lower Flux Uncertainty,Helper Column (microJy),Helper Column,Helper Column,Obs. Band
SDSS J2326−0030,0.582,0.5800714114,351.6667167,-0.5115027778,188.6,55,55,2.275541688,0.1304354129,44.359,0.027,0.029,0.028,0.0495,0.0032,0.0032,49.5,3.2,3.2,I
Mrk 335,0.025785,0.02458797714,1.58125,20.20291667,165.8,6.7,6.7,2.219584526,0.01755945988,43.631,0.009,0.009,0.009,5.899,0.124,0.124,,,,V
Mrk 590,0.026385,0.02551004252,33.64,-0.7666944444,32.2,4,4,1.507855872,0.05422973111,42.854,0.032,0.035,0.0335,0.965,0.074,0.074,,,,V
IRAS 03450+0055,0.031,0.03054442444,56.9175,1.087222222,152.5,7.1,7.1,2.183269844,0.02023424025,43.901,0.009,0.009,0.009,7.688,0.155,0.155,,,,V
Akn 120,0.032713,0.03273780381,79.0475,-0.1498333333,129.7,18,18,2.112939976,0.0606636611,44.252,0.008,0.008,0.008,15.12,0.29,0.29,,,,V
MCG +08 - 11 - 011,0.020484,0.02053479232,88.72291667,46.43944444,69.9,2.1,2.1,1.844477176,0.01305140128,43.434,0.024,0.025,0.0245,5.726,0.319,0.319,,,,V
Mrk 79,0.022189,0.02256658956,115.6366667,49.80966667,71.8,4.2,4.2,1.856124444,0.02543344817,43.364,0.014,0.015,0.0145,3.998,0.135,0.135,,,,V
Mrk 110,0.035291,0.03586235635,141.30375,52.28625,106.8,8,8,2.028571253,0.03259247174,43.638,0.015,0.015,0.015,2.941,0.103,0.103,,,,V
NGC 3227,0.003859,0.004939868558,155.8775,19.865,13.8,0.7,0.7,1.139879086,0.02204835329,42.203,0.023,0.025,0.024,5.879,0.323,0.323,,,,V
NGC 3516,0.008836,0.009062478411,166.6979167,72.56861111,71.5,5.8,5.8,1.854306042,0.03530706218,42.63,0.035,0.038,0.0365,3.798,0.32,0.32,,,,V
Mrk 744,0.008933,0.009895374029,174.9270833,31.90916667,19.7,2.2,2.2,1.294466226,0.04870303308,41.804,0.023,0.024,0.0235,0.506,0.028,0.028,,,,V
NGC 4051,0.002336,0.003084784129,180.79,44.53133333,15.8,0.5,0.5,1.198657087,0.01374808679,41.682,0.036,0.039,0.0375,4.39,0.379,0.379,,,,V
NGC 4151,0.003319,0.004142939873,182.6358333,39.40572222,40.9,0.3,0.3,1.611723308,0.003185591228,42.635,0.034,0.037,0.0355,16.52,1.34,1.34,,,,V
NGC 4593,0.009,0.01015617249,189.9141667,-5.344277778,42.1,0.9,0.9,1.624282096,0.009285619773,42.553,0.016,0.017,0.0165,3.175,0.12,0.12,,,,V
NGC 5548,0.017175,0.01788644994,214.4979167,25.13677778,61.3,0.3,0.3,1.787460475,0.002125438577,42.887,0.013,0.014,0.0135,1.849,0.058,0.058,,,,V
Mrk 817,0.031455,0.03173399286,219.0920833,58.79427778,89.8,8.6,8.6,1.953276337,0.0417195346,43.731,0.007,0.008,0.0075,4.405,0.076,0.076,,,,V
Mrk 509,0.034397,0.03343138975,311.0404167,-10.72347222,120.3,1.1,1.1,2.080265627,0.003971215668,44.228,0.01,0.01,0.01,12.12,0.29,0.29,,,,V
NGC 7469,0.016317,0.01506638379,345.815,8.874,78.12,0.05,0.05,1.892762235,0.0002779662962,43.286,0.024,0.026,0.025,6.472,0.375,0.375,,,,V
